bier_id,brouwerij:
1,De Achelse Kluis
2,Brasserie de Bastogne
3,Belle-Vue
4,De 3 Vaten
5,Microbrouwerij Angerik
6,De Dolle Brouwers
7,De Halve Maan
8,Antwerp City Brewery
9,Huyghe
10,De Dolle Brouwers
11,Roman
12,John Martin S.A.
13,Alken-Maes
14,van Steenberge
15,De Keukenbrouwers
16,Liefmans
17,De Struise Brouwers
18,ABInbev Belgium
19,Antwerp City Brewery
20,Les 3 Fourquets
21,Alken-Maes
22,Amai
23,Henricus
24,Kunstbrouwerij
25,Brasserie st.Bernard
26,Palm Craft Brewers
27,De Dolle Brouwers
28,De Struise Brouwers
29,Hof Ter Dormaal
30,B.O.M Brewery
31,Van Vlaanderen
32,het Nest
33,'t Gaverhopke
34,Brasserie de la Senne
35,
36,
37,
38,
39,
